id,OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape_Length,Shape_Area,x,y
"12","10195","2002",CA,USF,PNF,BISCUIT,"00000000",2002/07/13 00:00:00,2002/11/08 00:00:00,"1",,499945,501082.03125,"8","1","00000003",403257.735458066,2027806990.79122,"-13797275","5162404"
"13","10195","2002",CA,USF,PNF,BISCUIT,"00000000",2002/07/13 00:00:00,2002/11/08 00:00:00,"1",,499945,501082.03125,"8","1","00000003",403257.735458066,2027806990.79122,"-13792275","5162404"
"14","10195","2002",CA,USF,PNF,BISCUIT,"00000000",2002/07/13 00:00:00,2002/11/08 00:00:00,"1",,499945,501082.03125,"8","1","00000003",403257.735458066,2027806990.79122,"-13787275","5162404"
"28","20708","2017",CA,USF,RRS,ABNEY,"00000568",2017/08/10 00:00:00,2018/01/10 00:00:00,"1","Miller Complex, cause from Incinet, Cont Date based on Fire out date",,32893.26171875,"8","1",,129429.671811463,133114307.076367,"-13717275","5162404"
"29","20708","2017",CA,USF,RRS,ABNEY,"00000568",2017/08/10 00:00:00,2018/01/10 00:00:00,"1","Miller Complex, cause from Incinet, Cont Date based on Fire out date",,32893.26171875,"8","1",,129429.671811463,133114307.076367,"-13712275","5162404"
"37","9119","1955",CA,USF,KNF,STERLING MTN,"00000000",1955/09/04 00:00:00,,"1",,,910.996459960938,,"1","00000133",9429.79940926816,3686671.8762261,"-13672275","5162404"
"49","17785","2014",OR,OTH,,OREGON GULCH,"005589",2014/07/30 00:00:00,2014/08/13 00:00:00,"1",Oregon Department of Forestry,35105.2137,35111.24609375,"7","1",,68063.0358962945,142090171.531656,"-13612275","5162404"
"50","17785","2014",OR,OTH,,OREGON GULCH,"005589",2014/07/30 00:00:00,2014/08/13 00:00:00,"1",Oregon Department of Forestry,35105.2137,35111.24609375,"7","1",,68063.0358962945,142090171.531656,"-13607275","5162404"
"51","17785","2014",OR,OTH,,OREGON GULCH,"005589",2014/07/30 00:00:00,2014/08/13 00:00:00,"1",Oregon Department of Forestry,35105.2137,35111.24609375,"7","1",,68063.0358962945,142090171.531656,"-13602275","5162404"
"84","17486","2012",OR,USF,FNF,BARRY POINT ,"00120680",2012/08/06 00:00:00,2012/09/17 00:00:00,"1",OR-FWF-120680 this line is a combo of firelines and fire edges,93071,92944.53125,"7","1",,185385.39552218,376133171.451675,"-13437275","5162404"
"85","17486","2012",OR,USF,FNF,BARRY POINT ,"00120680",2012/08/06 00:00:00,2012/09/17 00:00:00,"1",OR-FWF-120680 this line is a combo of firelines and fire edges,93071,92944.53125,"7","1",,185385.39552218,376133171.451675,"-13432275","5162404"
"88","149","2007",CA,USF,MDF,FLETCHER,"00000055",2007/07/10 00:00:00,2007/08/04 00:00:00,"1", ,8121,8081.95654296875,"1","1","00000055",41625.7969423477,32706518.2087945,"-13417275","5162404"
"107","17868","2014",NV,BLM,NOD,MALT,"003320",2014/07/23 00:00:00,2014/07/28 00:00:00,"1",,1054,1062.86401367188,"2","1",,12624.6184308644,4301258.14252385,"-13322275","5162404"
"240","1873","1915",CA,USF,SRF,N/A,"00000000",1915/09/07 00:00:00,,"5",,,1643.00708007813,,"1","00000028",9493.36013365979,6649013.96970302,"-13812275","5157404"
"242","10195","2002",CA,USF,PNF,BISCUIT,"00000000",2002/07/13 00:00:00,2002/11/08 00:00:00,"1",,499945,501082.03125,"8","1","00000003",403257.735458066,2027806990.79122,"-13802275","5157404"
"243","10195","2002",CA,USF,PNF,BISCUIT,"00000000",2002/07/13 00:00:00,2002/11/08 00:00:00,"1",,499945,501082.03125,"8","1","00000003",403257.735458066,2027806990.79122,"-13797275","5157404"
"244","10195","2002",CA,USF,PNF,BISCUIT,"00000000",2002/07/13 00:00:00,2002/11/08 00:00:00,"1",,499945,501082.03125,"8","1","00000003",403257.735458066,2027806990.79122,"-13792275","5157404"
"245","10195","2002",CA,USF,PNF,BISCUIT,"00000000",2002/07/13 00:00:00,2002/11/08 00:00:00,"1",,499945,501082.03125,"8","1","00000003",403257.735458066,2027806990.79122,"-13787275","5157404"
"256","20551","2017",CA,USF,KNF,CEDAR,"00005915",2017/08/08 00:00:00,2017/10/10 00:00:00,"1",CONT_DATE est from Inciweb/IRWIN - Eclipse Complex four mile merged,6939,9129.376953125,"3","1",,80966.5744050779,36945277.5562283,"-13732275","5157404"
"261","20708","2017",CA,USF,RRS,ABNEY,"00000568",2017/08/10 00:00:00,2018/01/10 00:00:00,"1","Miller Complex, cause from Incinet, Cont Date based on Fire out date",,32893.26171875,"8","1",,129429.671811463,133114307.076367,"-13707275","5157404"
"262","20708","2017",CA,USF,RRS,ABNEY,"00000568",2017/08/10 00:00:00,2018/01/10 00:00:00,"1","Miller Complex, cause from Incinet, Cont Date based on Fire out date",,32893.26171875,"8","1",,129429.671811463,133114307.076367,"-13702275","5157404"
"263","20708","2017",CA,USF,RRS,ABNEY,"00000568",2017/08/10 00:00:00,2018/01/10 00:00:00,"1","Miller Complex, cause from Incinet, Cont Date based on Fire out date",,32893.26171875,"8","1",,129429.671811463,133114307.076367,"-13697275","5157404"
"268","4263","1924",CA,USF,KNF,WEST FORK,"00000000",1924/07/26 00:00:00,,"3",,,6307.5146484375,,"1","00000314",21395.1677468366,25525606.9599718,"-13672275","5157404"
"280","17785","2014",OR,OTH,,OREGON GULCH,"005589",2014/07/30 00:00:00,2014/08/13 00:00:00,"1",Oregon Department of Forestry,35105.2137,35111.24609375,"7","1",,68063.0358962945,142090171.531656,"-13612275","5157404"
"281","6010","1957",CA,USF,KNF,BOGUS ESCAPE,"00000000",1957/09/24 00:00:00,,"9",,,10738.072265625,,"1","00000081",41694.6988208587,43455435.3292135,"-13607275","5157404"
